ID,Gender,Age,Profession,Work_Experience,Spending_Score,Family_Size,Ever_Married
458989,0,36,1,0,1,1,Yes
458994,1,37,2,8,3,4,Yes
458996,0,69,2,0,1,1,Yes
459000,1,59,3,11,5,2,Yes
459001,0,19,4,3,1,4,No
459003,1,47,5,0,5,5,Yes
459005,1,61,5,5,1,3,Yes
459008,0,47,6,1,3,3,Yes
459013,1,50,6,2,3,4,Yes
459014,1,19,2,0,1,4,No
459015,1,22,2,0,1,3,No
459016,0,22,2,0,1,6,No
459024,1,50,6,1,3,5,Yes
459026,1,27,2,8,1,3,No
459032,1,18,5,0,1,3,No
459033,0,61,6,0,1,1,Yes
459036,0,20,7,1,3,3,Yes
459039,1,45,6,1,3,2,Yes
459041,1,55,6,8,1,1,Yes
459045,0,88,7,1,3,4,Yes
459056,1,63,3,3,5,3,Yes
459057,1,69,7,3,5,2,Yes
459058,1,42,6,0,1,4,No
459059,1,79,3,3,5,2,Yes
459061,0,35,2,9,5,3,Yes
459064,1,27,3,5,5,4,Yes
459065,1,52,1,3,1,2,Yes
459074,0,29,2,0,1,4,No
459077,0,79,7,1,5,2,Yes
459079,1,87,7,3,5,2,Yes
459080,1,89,7,1,1,2,Yes
459083,1,63,6,9,3,3,Yes
459090,1,31,6,1,1,2,No
459091,1,72,6,1,3,6,Yes
459093,0,41,5,9,3,2,Yes
459100,0,61,6,11,1,1,No
459106,1,62,6,0,1,2,Yes
459114,1,56,6,1,3,2,Yes
459116,1,60,6,2,3,5,Yes
459117,1,68,6,0,5,2,Yes
459118,1,19,2,3,1,8,No
459119,1,57,3,8,5,3,Yes
459120,1,19,2,5,1,5,No
459121,0,51,6,3,3,6,Yes
459123,0,86,6,1,5,2,Yes
459130,0,74,7,1,5,2,Yes
459132,1,23,8,6,1,2,No
459136,1,47,6,0,3,2,Yes
459140,0,19,2,7,1,6,No
459143,1,50,6,0,5,4,Yes
459144,1,80,7,3,5,2,Yes
459145,1,78,7,3,1,1,Yes
459150,0,48,5,0,1,1,No
459160,1,70,5,1,3,2,Yes
459161,1,50,3,3,5,5,Yes
459162,0,83,7,0,5,2,Yes
459163,1,35,8,0,1,1,No
459167,0,36,6,0,1,2,No
459170,0,35,6,1,1,1,No
459171,1,35,6,0,3,2,Yes
459172,1,18,2,3,1,3,No
459175,0,73,6,1,3,2,Yes
459181,1,62,6,1,5,3,Yes
459182,0,46,6,1,3,2,Yes
459184,1,43,8,0,1,4,Yes
459185,0,32,8,7,1,1,No
459193,1,39,6,0,1,1,No
459194,0,89,7,0,5,2,Yes
459196,0,18,2,0,1,3,No
459208,0,57,6,0,5,2,Yes
459209,0,18,8,0,1,4,No
459210,0,71,6,1,5,2,Yes
459212,0,69,6,0,3,2,Yes
459213,0,42,2,0,1,4,No
459216,0,36,6,0,1,2,No
